"make","model","rental_count"
Tesla,Model 3,288
Ford,Mustang,136
Tesla,Model S,122
Jeep,Wrangler,108
Tesla,Model X,103
Mercedes-Benz,C-Class,78
Toyota,Corolla,78
BMW,"3 Series",76
Chevrolet,Corvette,68
Chevrolet,Camaro,61
Dodge,Grand Caravan,60
Toyota,Prius,58
Hyundai,Sonata,48
Toyota,Camry,47
Mercedes-Benz,E-Class,47
Honda,Odyssey,45
Nissan,Altima,44
Toyota,Sienna,44
Nissan,Versa,43
Volkswagen,Jetta,43
Maserati,Ghibli,43
Honda,Civic,42
Nissan,Rogue,42
Toyota,Yaris,41
BMW,"4 Series",39
Hyundai,Elantra,38
Polaris,Slingshot,38
Dodge,Challenger,38
Ford,F-150,37
Nissan,Sentra,36
Porsche,Boxster,36
Toyota,RAV4,35
Honda,Accord,35
Porsche,"911",35
Subaru,Outback,33
BMW,"5 Series",33
BMW,X5,32
Jeep,Wrangler Unlimited,32
Ford,Fusion,31
Kia,Soul,31
Jaguar,F-TYPE,30
Ford,Focus,29
Land Rover,Range Rover Sport,29
BMW,i8,28
Kia,Optima,27
Honda,CR-V,26
Toyota,"4Runner",26
Ford,Escape,26
Chevrolet,Suburban,25
Chevrolet,Cruze,25
